season,topic,entertainment
1,1,1
1,2,0
1,3,0
1,4,1
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,1
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,1
1,18,0
1,19,1
1,20,1
1,21,1
1,22,0
1,23,0
1,24,0
1,25,1
1,26,0
1,27,0
2,1,0
2,2,1
2,3,0
2,4,1
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,1
2,16,0
2,17,0
2,18,1
2,19,0
2,20,0
2,21,0
2,22,1
2,23,0
2,24,0
2,25,0
2,26,0
2,27,1
2,28,0
3,1,0
3,2,0
3,3,1
3,4,0
3,5,1
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,1
3,14,0
3,15,0
4,1,0
4,2,0
4,3,1
4,4,0
4,5,1
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,1
5,6,0
5,7,1
5,8,0
5,9,0
5,10,0
5,11,1
5,12,0
5,13,0
5,14,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,1
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,1
6,14,0
6,15,0
6,16,0
6,17,1
6,18,0
6,19,0
6,20,0
6,21,0
6,22,1
6,23,1
6,24,0
6,25,0
7,1,0
7,2,1
7,3,0
7,4,0
7,5,0
7,6,0
7,7,1
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,1
7,14,0
7,15,0
7,16,0
7,17,0
7,18,0
7,19,1
7,20,0
7,21,0
7,22,1
7,23,0
7,24,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,1
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,1
8,17,0
8,18,0
8,19,0
8,20,1
8,21,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,1
9,17,0
9,18,1
9,19,0
10,1,0
10,2,1
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,1
10,10,0
10,11,0
10,12,0
10,13,0
10,14,0
